Attribute21,Attribute4,Attribute1,Attribute9,Attribute8,Attribute20,Attribute5,Attribute23,Attribute3,Attribute10,Attribute7,Attribute22,Attribute13,Attribute2,Attribute17,Attribute15,Attribute12,Attribute18,Attribute11,Attribute14,Attribute24,Attribute19,Attribute6,Attribute16,Class
1,23,1,1,4,0,1,1,2,52,3,0,1,10,0,1,1,1,3,1,0,0,5,0,1
1,14,4,1,2,0,1,0,4,29,2,0,1,12,0,1,2,0,3,2,0,0,3,0,1
1,13,2,2,1,0,1,0,4,27,2,0,1,18,0,1,2,1,3,1,1,0,2,0,1
0,126,2,4,4,0,2,0,2,47,3,0,2,36,0,1,1,1,3,2,1,0,3,0,2
1,22,1,3,3,0,2,0,2,30,3,0,2,18,0,1,1,1,3,2,0,0,4,1,1
1,11,1,1,3,0,1,0,0,28,3,0,1,12,0,1,2,1,3,1,1,0,4,0,2
1,6,4,1,4,0,1,0,4,56,3,0,1,12,0,1,1,1,3,1,1,0,5,0,1
1,14,1,1,3,0,1,0,4,54,3,0,1,12,1,1,1,1,3,1,1,0,5,0,1
1,8,4,2,3,0,5,1,4,33,2,0,2,12,0,1,1,1,1,1,0,0,5,0,2
0,36,3,4,4,1,5,0,4,20,3,0,1,24,0,1,2,0,3,1,1,1,5,0,1
1,13,2,1,4,0,4,0,2,54,3,0,1,12,0,1,1,1,3,2,1,0,5,1,1
0,159,2,4,4,1,1,0,0,58,3,0,1,54,0,1,1,1,3,2,1,0,2,0,2
1,20,4,3,2,0,5,0,4,61,2,0,1,12,0,1,1,1,3,1,1,0,4,0,1
1,26,2,3,4,0,2,0,2,34,3,0,1,18,0,1,1,1,3,1,1,0,3,0,1
1,23,2,1,4,0,1,0,4,36,3,0,1,36,0,1,1,1,3,1,1,0,5,0,1
0,71,2,2,4,1,5,0,3,36,3,0,2,20,1,1,2,1,1,2,0,0,4,0,1
0,15,4,1,4,1,2,1,2,41,4,0,1,24,0,1,1,1,3,1,0,0,5,1,1
0,23,2,3,4,1,1,0,2,24,3,0,1,36,0,1,1,1,3,1,1,0,4,0,1
1,9,4,1,2,0,1,0,3,24,2,0,1,6,0,1,1,1,3,1,1,0,3,0,1
0,19,2,3,3,1,1,0,4,35,3,0,1,9,0,1,1,1,3,2,1,0,4,0,1
0,24,4,3,4,1,5,0,2,26,4,0,1,12,1,1,1,1,3,2,1,0,2,0,1
1,119,2,3,3,0,1,0,4,39,3,0,2,24,0,1,2,0,3,2,0,1,3,0,2
1,65,4,4,4,0,1,0,1,39,3,0,2,18,0,1,2,1,1,2,0,0,5,1,2
1,61,2,3,2,0,1,0,2,32,3,0,1,12,0,1,1,1,3,1,1,0,4,1,1
1,77,1,2,2,0,5,0,2,30,2,0,1,24,0,2,1,1,3,2,1,0,2,0,1
1,14,2,1,2,0,3,0,2,35,4,0,1,14,0,1,1,1,3,2,1,0,5,0,1
1,14,2,3,2,0,2,0,3,31,1,0,2,6,0,1,2,1,1,1,1,0,5,0,1
0,4,3,2,4,1,1,0,2,23,2,0,1,15,0,1,1,1,3,2,1,0,2,0,1
0,63,2,1,3,1,1,1,2,28,3,0,1,18,0,1,1,1,3,1,0,0,4,1,1
1,79,4,1,2,0,1,0,4,25,2,0,1,36,0,1,2,1,2,2,1,0,3,1,2
1,17,1,1,1,0,3,0,2,35,4,0,1,12,0,1,1,1,3,1,1,0,5,0,1
1,36,4,1,1,0,5,0,4,47,3,0,1,48,0,1,1,1,3,2,1,0,5,0,1
1,72,1,3,3,0,5,0,2,30,2,0,1,42,0,1,1,1,3,2,0,0,4,0,2
0,21,1,1,3,1,5,0,4,27,2,0,1,10,0,2,2,0,3,1,1,1,2,0,1
1,43,1,3,4,0,3,0,4,23,2,0,1,33,0,1,2,1,3,1,1,0,3,0,2
1,24,2,3,3,0,3,0,4,36,1,0,1,12,0,1,1,1,3,2,0,0,4,1,1
1,18,1,1,2,0,1,0,2,25,2,0,1,21,0,1,2,1,3,2,1,0,3,0,2
0,39,4,3,2,1,1,0,4,41,2,0,1,24,1,1,2,1,3,2,0,0,5,0,1
0,18,4,1,2,1,1,1,2,24,3,0,1,12,0,1,1,1,3,1,0,0,3,0,1
0,8,3,4,4,0,1,0,4,63,3,0,1,10,0,1,2,1,3,2,1,0,5,1,1
0,19,2,1,3,1,5,0,2,27,2,0,1,18,0,1,1,1,3,1,1,0,2,0,2
1,21,1,2,2,0,1,0,4,30,3,0,1,12,0,1,2,1,3,1,1,0,3,1,1
1,7,1,1,2,0,1,1,2,40,4,0,1,12,0,1,1,1,3,1,0,0,3,0,1
1,6,2,3,2,0,1,0,2,30,3,0,1,12,0,1,1,1,3,1,1,0,3,0,2
1,19,2,3,2,0,1,0,4,34,3,0,1,12,1,1,2,1,3,2,0,0,1,0,1
1,35,1,1,2,0,1,0,4,29,2,0,1,12,0,1,2,0,3,1,1,1,3,1,2
1,85,2,3,2,0,5,0,2,24,2,0,1,48,0,1,1,1,3,1,1,0,4,1,1
1,69,1,2,3,0,1,0,3,29,3,0,1,36,0,1,1,1,2,2,1,0,3,0,2
1,27,4,2,3,0,1,1,2,27,3,0,1,15,0,1,2,1,1,1,0,0,2,0,1
0,20,4,4,4,0,1,0,2,47,3,0,1,18,0,1,2,1,1,1,1,0,3,0,1
1,101,4,1,4,0,2,0,2,21,2,0,1,60,0,1,1,1,3,2,1,0,4,0,1
1,12,4,1,2,0,5,0,4,38,2,0,1,12,0,1,2,1,3,2,1,0,5,0,1
1,86,4,3,2,0,4,0,3,27,3,0,1,27,1,1,2,1,3,1,1,0,3,0,1
1,8,2,1,3,0,3,1,2,66,3,0,1,12,0,1,1,1,3,1,0,0,3,0,2
1,27,2,1,2,0,5,0,4,35,3,0,1,15,0,1,3,0,1,2,1,0,4,0,1
0,19,3,3,2,1,1,1,2,44,2,0,1,12,0,1,1,1,3,2,0,0,3,0,1
1,7,3,1,2,0,4,0,2,27,4,1,1,6,0,2,1,1,3,1,0,0,2,1,1
1,48,2,4,1,0,1,0,2,30,2,0,1,36,0,1,1,1,3,2,0,0,2,0,1
1,34,1,3,2,0,1,0,2,27,3,0,1,27,0,1,1,1,3,1,0,0,3,0,1
1,25,1,3,2,0,1,0,2,22,3,0,1,18,0,1,1,1,3,1,1,0,3,0,2
1,23,4,2,4,0,1,0,4,23,2,0,1,21,0,1,1,1,3,2,1,0,2,0,1
1,36,2,3,2,0,2,0,1,30,3,0,1,48,0,1,1,1,3,1,1,0,4,0,1
1,9,1,4,4,0,1,0,4,39,2,0,1,6,0,1,2,1,3,2,1,0,5,1,1
1,7,4,3,3,0,2,0,4,51,2,0,1,12,0,1,2,1,3,2,1,0,4,1,1
1,54,1,2,2,0,1,0,4,28,3,0,1,36,0,1,2,0,3,1,1,0,3,0,1
1,16,4,3,4,0,4,0,4,46,3,0,1,18,0,1,2,1,3,1,1,0,5,0,1
0,13,4,4,4,0,2,0,2,42,3,0,2,6,0,1,1,1,1,2,1,0,5,0,1
1,19,4,2,4,0,1,0,2,38,3,0,1,10,0,2,1,1,3,2,1,0,3,0,1
1,58,3,3,1,0,1,0,2,24,3,0,1,36,0,1,1,1,3,1,1,0,3,0,1
0,78,2,4,4,1,4,0,4,29,2,0,1,24,1,1,1,1,3,1,1,0,5,0,1
0,70,2,3,4,1,2,0,3,36,3,0,1,24,0,1,1,1,3,2,0,0,4,0,1
0,13,1,3,4,1,1,0,2,20,2,0,1,12,0,1,1,1,3,1,1,0,3,0,2
1,13,1,1,4,0,2,0,4,48,3,0,2,9,0,2,2,0,3,1,1,0,5,0,1
1,3,1,3,1,0,1,1,1,45,4,0,1,12,0,1,1,1,1,1,0,0,5,0,1
1,35,2,3,3,0,2,0,2,38,3,0,1,24,0,1,2,1,1,2,1,0,4,1,1
1,19,4,1,2,0,5,1,4,34,3,0,2,6,0,1,2,1,3,1,0,0,3,0,1
1,29,4,1,4,0,2,0,4,36,3,0,2,24,0,1,1,1,3,2,1,0,5,0,1
1,11,4,2,1,0,1,0,4,30,2,0,1,18,0,1,2,1,3,1,1,0,2,1,1
1,13,4,2,3,0,3,0,2,36,3,0,1,15,0,1,2,1,3,2,1,0,4,0,1
0,73,2,4,4,0,1,0,2,70,3,0,1,10,0,1,1,1,1,2,0,0,1,1,1
1,9,4,2,4,0,3,0,2,36,3,0,1,36,0,1,1,1,3,1,1,0,5,1,1
1,30,4,3,2,0,3,0,2,32,3,0,1,6,0,1,1,1,3,2,1,0,3,0,1
1,11,1,3,2,0,1,0,2,33,2,0,1,18,0,1,1,1,3,1,1,0,1,0,2
1,16,2,1,1,0,4,0,2,20,2,0,1,11,0,1,1,1,3,1,1,0,2,0,1
0,40,4,2,4,1,1,0,2,25,2,0,1,24,0,1,1,1,3,2,1,0,4,0,1
1,19,2,1,4,0,1,0,4,31,1,0,1,24,0,1,2,1,3,2,1,0,5,0,2
0,10,1,3,3,1,1,0,0,33,3,0,2,15,0,1,2,1,3,1,1,0,5,1,2
1,8,4,1,1,0,1,0,2,26,2,0,1,12,0,1,1,1,3,2,1,0,3,0,1
1,21,2,2,2,0,1,0,3,34,2,0,1,24,0,1,1,1,3,2,0,0,1,0,2
1,14,2,1,2,0,1,0,2,33,3,0,1,8,0,2,1,0,3,1,1,0,3,0,1
1,34,1,2,1,0,1,0,3,26,3,0,1,21,0,1,2,1,3,1,1,0,2,0,2
1,75,4,1,1,0,5,0,1,53,2,0,1,30,1,1,1,1,1,2,0,0,1,0,2
1,26,1,3,1,0,1,0,2,42,1,0,1,12,0,1,1,1,3,1,1,0,3,0,1
1,3,1,3,4,0,3,0,4,52,3,0,1,6,0,1,2,1,3,1,1,0,5,0,1
0,20,4,3,2,1,1,0,2,31,3,0,2,12,0,1,2,1,3,2,0,0,4,0,1
1,6,1,1,4,0,1,0,4,65,3,0,1,21,0,1,2,1,3,1,1,0,5,1,1
1,96,4,3,1,0,1,0,3,28,1,0,1,36,0,1,2,1,3,1,1,0,2,0,2
1,45,2,1,2,0,1,0,3,30,1,0,1,36,0,1,2,1,2,2,0,0,3,0,2
1,16,1,2,2,0,5,1,1,40,3,0,2,21,0,1,2,1,3,1,0,0,3,1,2
1,38,4,1,4,0,4,0,4,50,3,0,1,24,0,1,1,1,3,2,1,0,3,0,1
1,9,2,3,4,0,1,0,4,36,3,0,2,18,0,1,1,1,1,2,1,0,5,1,2
1,14,4,2,2,0,1,0,4,31,3,0,1,15,0,1,2,1,3,1,1,0,3,0,1
0,51,2,4,4,0,1,0,1,74,2,0,2,9,1,1,1,1,1,2,0,0,5,0,2
0,12,2,3,3,0,1,0,4,68,3,1,1,16,0,1,3,1,3,2,0,0,1,1,1
1,7,1,2,1,0,2,0,2,20,4,0,1,12,0,1,1,1,3,1,1,0,4,0,2
1,32,2,3,4,0,1,0,0,33,2,0,1,18,0,1,2,1,1,2,1,0,3,0,1
1,46,4,2,3,0,4,0,2,54,3,0,1,24,0,1,3,1,3,2,0,0,3,0,2
0,38,2,4,4,0,2,1,0,34,3,0,2,48,0,1,1,1,3,1,0,0,4,0,2
1,39,2,3,2,0,1,0,2,36,3,0,2,27,0,1,1,1,3,2,1,0,3,0,2
0,21,4,1,2,1,1,0,2,29,4,0,1,6,0,1,1,1,3,1,1,0,4,0,1
0,30,2,2,4,1,2,0,2,21,3,0,1,45,0,1,1,0,3,1,1,0,3,0,2
1,15,2,3,3,0,1,0,4,34,2,0,1,9,0,1,2,1,3,2,0,0,5,0,2
1,14,4,3,1,0,1,0,4,28,2,0,1,6,0,1,2,1,3,2,1,0,3,0,1
0,10,2,3,4,1,2,0,2,27,2,0,1,12,0,1,4,1,1,1,1,0,2,0,2
0,28,2,4,4,0,5,0,2,36,3,0,1,24,1,1,1,1,1,2,1,0,5,0,1
1,43,2,4,3,0,1,0,3,40,1,0,1,18,0,1,1,1,3,2,0,0,5,0,2
1,9,4,3,2,0,3,0,4,52,3,0,1,9,0,1,2,1,3,2,1,0,5,0,1
1,12,1,1,3,0,1,1,2,27,4,0,1,12,0,1,1,1,3,1,0,0,3,1,1
1,51,4,3,4,0,1,0,3,26,3,0,1,27,0,1,2,1,3,1,1,0,4,0,1
0,9,1,2,4,1,1,0,2,21,4,0,1,12,0,1,1,1,3,1,1,0,4,0,2
1,15,4,1,1,0,1,1,4,38,3,0,2,12,0,1,2,1,3,1,0,0,5,1,1
0,106,1,4,4,0,1,0,4,38,3,0,2,30,1,1,3,1,3,2,0,0,5,0,1
1,19,4,1,4,0,1,0,4,43,3,0,1,12,0,1,3,1,3,2,1,0,5,0,1
1,14,2,2,3,0,1,0,4,26,3,0,1,12,0,1,1,1,3,1,1,0,4,0,1
1,66,1,3,2,0,1,1,2,21,4,0,1,24,0,1,1,1,2,1,0,0,3,0,1
1,14,4,2,2,0,4,0,2,55,3,0,1,12,1,2,1,1,3,1,1,0,4,0,1
1,31,4,1,2,0,5,0,4,33,3,0,2,9,0,1,2,1,3,1,1,0,3,0,1
1,38,4,1,4,0,5,1,2,45,2,0,1,36,0,1,1,1,3,2,0,0,5,0,1
1,53,1,2,4,0,1,0,0,50,3,0,1,27,0,1,2,1,2,2,1,0,1,0,2
1,19,3,1,4,0,1,0,3,66,3,0,1,30,0,1,1,1,3,2,0,0,5,0,2
1,33,4,3,2,0,5,0,4,51,3,0,1,36,0,1,1,1,3,2,1,0,5,0,1
1,9,2,2,3,0,5,1,4,39,2,0,1,6,0,1,2,1,3,1,0,0,4,0,1
1,31,1,2,1,0,1,0,0,31,3,0,1,18,0,1,1,1,1,2,1,0,4,0,1
1,39,3,1,2,0,1,0,2,23,3,0,1,36,0,1,1,1,3,2,1,0,3,0,1
0,30,1,1,2,1,1,1,2,24,1,0,1,24,0,1,1,1,3,1,0,0,3,0,1
1,14,4,3,4,0,1,0,2,64,2,0,1,10,0,1,1,1,3,2,1,0,3,1,1
1,6,2,1,1,0,1,1,2,26,4,0,1,12,0,1,1,0,1,1,0,0,2,0,1
0,12,1,2,4,1,5,0,2,23,2,0,1,12,0,1,1,1,1,2,1,0,3,0,1
1,7,4,1,2,0,1,0,2,30,3,0,1,12,0,1,2,1,1,1,1,0,3,0,1
1,30,4,1,4,0,5,0,3,32,3,0,2,24,0,1,2,1,3,2,1,0,3,0,1
1,47,4,3,2,0,1,0,2,30,3,0,1,15,1,1,1,1,3,2,1,0,3,0,1
1,26,4,3,2,0,1,0,0,27,3,0,1,36,0,1,2,1,3,1,1,0,3,0,1
1,110,2,4,2,0,4,0,2,27,3,0,1,48,0,1,2,0,1,2,1,1,4,0,2
0,79,1,4,4,0,1,0,2,53,3,0,1,12,0,1,1,1,3,2,0,0,5,0,2
1,15,4,3,2,0,1,0,2,22,3,0,1,9,0,1,1,1,3,1,1,0,4,0,2
0,31,1,4,1,0,1,0,2,22,3,0,1,24,0,1,1,1,1,1,1,0,2,0,1
1,42,3,3,2,0,1,0,2,26,3,0,1,36,0,1,1,1,3,1,1,0,3,0,2
0,25,4,4,4,0,3,1,2,51,3,0,1,9,0,1,1,1,3,1,0,0,5,1,1
1,21,4,4,1,0,2,0,2,35,3,0,1,12,0,1,1,1,3,1,1,0,4,0,1
1,9,2,1,2,0,1,1,2,25,4,0,1,18,0,1,1,0,3,1,0,0,3,0,1
1,15,4,1,1,0,1,1,4,42,3,0,2,4,0,1,3,1,3,1,0,0,4,0,1
1,18,1,3,2,0,1,0,2,30,3,0,2,24,0,1,1,1,2,1,0,0,1,0,2
1,146,2,2,2,0,5,0,2,23,3,1,1,6,0,1,1,1,3,2,0,0,1,1,2
0,28,2,3,2,1,2,1,2,61,1,0,1,21,0,1,2,1,1,1,0,0,5,0,2
1,13,4,2,2,0,1,0,4,35,2,0,1,12,0,1,2,1,3,1,1,0,3,0,1
1,25,1,2,3,0,1,0,2,39,3,0,2,30,0,1,1,0,3,1,1,0,5,0,1
1,9,1,3,2,0,5,0,2,29,2,0,1,24,0,1,1,1,1,1,1,0,5,1,2
1,16,4,2,2,0,1,0,2,51,3,0,2,6,0,1,1,1,3,1,1,0,4,0,1
0,46,1,4,4,0,1,0,0,24,3,0,2,48,1,1,2,1,3,1,1,0,5,0,2
1,12,4,1,2,0,1,0,4,27,2,0,1,12,0,1,2,1,3,1,1,0,3,0,1
1,34,4,1,3,0,3,1,1,35,2,0,2,12,0,1,1,1,3,1,0,0,3,0,1
1,13,4,1,1,0,1,0,2,25,3,0,1,24,0,1,1,1,3,2,1,0,4,0,1
1,7,4,1,4,0,1,0,4,52,3,0,1,12,0,1,3,1,3,1,1,0,5,0,1
0,12,4,4,1,1,2,0,0,35,3,0,1,6,0,2,1,1,1,1,1,0,3,1,1
1,19,3,1,2,0,1,0,2,26,3,0,1,24,0,1,1,1,3,1,1,0,3,0,1
0,4,4,1,4,1,1,0,2,22,2,0,1,18,0,1,1,0,3,1,1,1,1,0,2
1,7,1,1,4,0,4,1,4,39,2,0,1,6,0,1,2,1,3,2,0,0,4,1,1
1,23,3,3,2,0,1,1,2,46,2,0,1,12,0,1,1,1,3,1,0,0,3,0,1
1,22,2,4,2,0,1,0,2,24,2,0,1,30,0,1,1,0,1,1,1,0,3,1,2
1,42,4,2,3,0,2,0,3,35,3,0,1,24,0,1,2,1,3,1,1,0,3,0,1
1,20,2,3,1,0,5,0,2,24,3,0,1,9,0,1,1,1,3,2,1,0,4,0,1
1,74,2,1,1,0,5,1,3,27,3,0,1,60,0,1,1,1,3,1,0,0,3,0,1
1,27,4,1,2,0,1,1,4,35,3,0,1,24,0,1,2,1,3,1,0,0,3,0,1
0,21,1,4,1,0,1,0,1,29,1,0,1,12,0,1,1,1,3,1,1,0,3,0,2
1,38,4,3,4,0,2,0,2,23,2,0,1,15,1,1,1,1,3,2,1,0,2,0,1
1,12,4,1,4,0,2,1,4,57,2,0,1,11,0,1,3,1,3,1,0,0,1,0,1
1,17,1,1,2,0,1,0,2,27,3,0,1,12,0,1,1,1,3,1,1,0,3,0,1
1,16,1,3,4,0,1,0,2,55,2,0,1,24,0,1,1,1,3,1,1,0,5,0,1
0,53,1,4,4,0,1,0,4,36,3,0,1,18,0,1,3,1,3,2,0,0,5,1,1
0,27,4,4,4,0,1,1,4,57,2,0,1,12,0,1,3,1,1,1,0,0,5,0,1
1,12,4,1,4,0,1,1,4,32,3,0,2,10,0,2,2,1,3,1,0,0,5,1,1
1,8,2,3,3,0,1,0,2,37,3,0,2,15,0,1,1,1,3,1,1,0,5,0,2
1,63,4,1,4,0,5,0,4,36,3,0,1,36,0,1,2,1,3,1,1,0,5,0,1
1,15,4,3,3,0,1,0,2,38,2,0,1,24,0,1,1,1,2,2,1,0,2,0,1
1,90,1,2,4,0,1,0,2,45,1,0,1,14,0,2,1,1,3,2,0,0,5,1,2
1,10,4,3,2,0,5,0,2,25,3,0,1,24,0,1,2,1,3,1,1,0,5,0,1
1,27,4,2,3,0,5,0,2,32,3,0,1,18,0,2,1,1,3,1,1,0,4,1,1
0,14,4,3,4,1,3,0,4,37,2,0,1,12,0,1,1,1,3,2,1,0,4,0,1
0,122,2,4,4,0,5,0,1,36,3,0,1,48,0,1,1,0,3,2,0,1,1,1,1
1,31,2,1,4,0,1,0,2,28,3,0,1,48,0,1,2,1,3,1,1,0,4,0,2
