teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursAverageByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
7,0.1429,0,0,11,22.142858,2.012987,0.715819,20.714285999999998,1.883117,0.9791209999999999,23.571429000000002,2.142857,1.537412,6.071429,0.551948,0.835672,10.0,0.909091,0.718699,11.0,0.0,22.142858,0.0,2.012987,0.0,20.714285999999998,0.0,1.883117,0.0,23.571429000000002,0.0,2.142857,0.0,6.071429,0.0,0.551948,0.0,10.0,0.0,0.909091,0.0,1.8333,0.687184,3.6904760000000003,1.393417,2.003968,0.35326399999999997,3.452381,1.2654940000000001,1.9047619999999998,0.394836,3.928572,1.9669900000000002,2.083333,0.5982069999999999,1.0119049999999998,0.665496,0.585317,0.32314499999999996,1.666667,1.160333,0.912698,0.470786,2,2,1.0,102,51.0,12.0,2.0,0.0,2.0,0.0,1.0,0.0,102.0,0.0,2.0,0.0,2.0,0,0,0,1
5,0.2,1,0,3,3.571429,1.190476,0.471405,3.214286,1.0714290000000002,0.7071069999999999,4.821429,1.607143,1.2747549999999999,2.857143,0.9523809999999999,1.885618,2.142857,0.714286,0.0,3.0,0.0,3.571429,0.0,1.190476,0.0,3.214286,0.0,1.0714290000000002,0.0,4.821429,0.0,1.607143,0.0,2.857143,0.0,0.9523809999999999,0.0,2.142857,0.0,0.714286,0.0,1.0,0.0,1.190476,0.33671799999999996,1.190476,0.33671799999999996,1.0714290000000002,0.505076,1.0714290000000002,0.505076,1.607143,0.910539,1.607143,0.910539,0.9523809999999999,1.34687,0.9523809999999999,1.34687,0.714286,0.0,0.714286,0.0,1,1,1.0,20,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,1.0,0.0,1.0,0,0,0,0
5,0.6,1,0,6,16.428572,2.738095,3.131382,15.0,2.5,1.892969,14.285715,2.380952,2.134375,3.571429,0.595238,1.86339,10.0,1.666667,1.699673,6.0,0.0,16.428572,0.0,2.738095,0.0,15.0,0.0,2.5,0.0,14.285715,0.0,2.380952,0.0,3.571429,0.0,0.595238,0.0,10.0,0.0,1.666667,0.0,1.2,0.4,3.285714,2.695423,2.714286,2.4074709999999997,3.0,1.9378090000000001,2.428571,1.399708,2.857143,1.498298,2.571429,1.603567,0.714286,1.4285709999999998,0.714286,1.4285709999999998,2.0,1.385051,1.714286,1.3248030000000002,3,3,1.0,81,27.0,10.230673,1.5,0.5,1.5,0.5,1.0,0.0,40.5,26.5,3.0,0.0,3.0,0,0,0,1
5,0.2,1,0,6,6.428572,1.0714290000000002,0.5,7.142857000000001,1.190476,0.471405,8.571429,1.4285709999999998,1.154701,2.142857,0.357143,0.763763,2.5,0.416667,0.4487640000000001,6.0,0.0,6.428572,0.0,1.0714290000000002,0.0,7.142857000000001,0.0,1.190476,0.0,8.571429,0.0,1.4285709999999998,0.0,2.142857,0.0,0.357143,0.0,2.5,0.0,0.416667,0.0,1.2,0.4,1.285714,0.832993,1.0,0.349927,1.4285709999999998,0.782461,1.142857,0.349927,1.714286,0.728431,1.5714290000000002,0.832993,0.428571,0.571429,0.428571,0.571429,0.5,0.534522,0.357143,0.319438,1,1,1.0,27,27.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,1.0,0.0,1.0,0,0,0,1
5,0.0,0,0,8,20.714285999999998,2.589286,0.8926790000000001,20.714285999999998,2.589286,0.8926790000000001,18.571429000000002,2.321429,1.870829,0.0,0.0,0.0,4.642857,0.580357,0.609175,8.0,0.0,20.714285999999998,0.0,2.589286,0.0,20.714285999999998,0.0,2.589286,0.0,18.571429000000002,0.0,2.321429,0.0,0.0,0.0,0.0,0.0,4.642857,0.0,0.580357,0.0,1.6,0.48989799999999994,4.142857,1.7871419999999998,2.464286,0.428571,4.142857,1.7871419999999998,2.464286,0.428571,3.714286,1.474269,2.392857,0.8112729999999999,0.0,0.0,0.0,0.0,0.9285709999999999,0.6227,0.571429,0.28571399999999997,11,2,0.1818,157,14.2727,10.349272000000001,5.5,4.5,1.0,0.0,0.55,0.45,78.5,31.5,11.0,0.0,2.0,0,0,0,0
5,0.6,1,0,6,8.571429,1.4285709999999998,0.57735,8.571429,1.4285709999999998,0.57735,8.285714,1.380952,1.213352,5.214286,0.8690479999999999,1.301815,1.5714290000000002,0.261905,0.449691,6.0,0.0,8.571429,0.0,1.4285709999999998,0.0,8.571429,0.0,1.4285709999999998,0.0,8.285714,0.0,1.380952,0.0,5.214286,0.0,0.8690479999999999,0.0,1.5714290000000002,0.0,0.261905,0.0,1.2,0.4,1.714286,0.9689040000000001,1.357143,0.349927,1.714286,0.9689040000000001,1.357143,0.349927,1.657143,0.703345,1.471429,0.74724,1.042857,0.927582,1.0214290000000001,0.947499,0.314286,0.33073800000000003,0.3,0.339267,1,1,1.0,28,28.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,28.0,0.0,1.0,0.0,1.0,0,0,0,1
5,0.0,0,0,4,6.785714,1.6964290000000002,0.9601430000000001,6.428572,1.607143,0.901388,12.5,3.125,2.7698150000000004,3.571429,0.892857,1.63936,2.142857,0.535714,0.829156,4.0,0.0,6.785714,0.0,1.6964290000000002,0.0,6.428572,0.0,1.607143,0.0,12.5,0.0,3.125,0.0,3.571429,0.0,0.892857,0.0,2.142857,0.0,0.535714,0.0,1.0,0.0,1.6964290000000002,0.685817,1.6964290000000002,0.685817,1.607143,0.643848,1.607143,0.643848,3.125,1.9784389999999998,3.125,1.9784389999999998,0.892857,1.170971,0.892857,1.170971,0.535714,0.592254,0.535714,0.592254,8,8,1.0,381,47.625,15.667941,8.0,0.0,8.0,0.0,1.0,0.0,381.0,0.0,4.0,3.0,4.0,0,0,0,1
3,0.0,0,1,3,4.285714,1.4285709999999998,0.0,3.571429,1.190476,0.471405,4.285714,1.4285709999999998,0.0,1.785714,0.595238,0.8498370000000001,0.714286,0.23809499999999997,0.235702,3.0,0.0,4.285714,0.0,1.4285709999999998,0.0,3.571429,0.0,1.190476,0.0,4.285714,0.0,1.4285709999999998,0.0,1.785714,0.0,0.595238,0.0,0.714286,0.0,0.23809499999999997,0.0,1.0,0.0,1.4285709999999998,0.0,1.4285709999999998,0.0,1.190476,0.33671799999999996,1.190476,0.33671799999999996,1.4285709999999998,0.0,1.4285709999999998,0.0,0.595238,0.6070260000000001,0.595238,0.6070260000000001,0.23809499999999997,0.16835899999999998,0.23809499999999997,0.16835899999999998,5,5,1.0,133,26.6,16.883128,5.0,0.0,5.0,0.0,1.0,0.0,133.0,0.0,2.5,1.5,2.5,0,0,0,0
7,0.2857,0,0,1,2.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
6,0.0,0,0,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,0.1667,0,0,1,2.0,2.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,0.0,0,1,1,1.0,1.0,0.0,1.0,1.0,0.0,45.0,45.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,0.0,45.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,0.0,45.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7,0.1429,0,0,11,21.142858,1.922078,3.2828129999999995,10.857142999999999,0.9870129999999999,1.1354540000000002,23.428572,2.12987,3.3868970000000003,6.285715,0.571429,1.3484,8.0,0.727273,1.6564419999999995,11.0,0.0,21.142858,0.0,1.922078,0.0,10.857142999999999,0.0,0.9870129999999999,0.0,23.428572,0.0,2.12987,0.0,6.285715,0.0,0.571429,0.0,8.0,0.0,0.727273,0.0,1.5714,0.49487200000000003,3.020408,3.5054550000000004,1.755102,1.7035619999999998,1.55102,0.9016620000000001,0.938776,0.365072,3.346939,3.447953,2.081633,1.8051709999999999,0.8979590000000001,0.9090229999999999,0.734694,0.8619879999999999,1.142857,1.331388,0.653061,0.6950770000000001,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
7,0.1429,0,0,11,13.714285999999998,1.246753,1.1922620000000002,6.285715,0.571429,0.8528030000000001,14.857144,1.350649,1.493789,2.857143,0.25974,0.890724,10.285715,0.9350649999999999,2.175179,11.0,0.0,13.714285999999998,0.0,1.246753,0.0,6.285715,0.0,0.571429,0.0,14.857144,0.0,1.350649,0.0,2.857143,0.0,0.25974,0.0,10.285715,0.0,0.9350649999999999,0.0,1.5714,0.49487200000000003,1.959184,1.095217,1.183674,0.49318599999999996,0.8979590000000001,0.6731600000000001,0.6122449999999999,0.387218,2.122449,1.664986,1.306123,0.776584,0.408163,0.588661,0.20408199999999999,0.294331,1.469388,1.796846,0.836735,0.8517809999999999,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7,0.1429,0,0,9,12.571429,1.396825,1.165343,8.285715,0.920635,0.566558,29.142858,3.238095,8.75595,0.0,0.0,0.0,7.428572,0.8253969999999999,1.4989709999999998,9.0,0.0,12.571429,0.0,1.396825,0.0,8.285715,0.0,0.920635,0.0,29.142858,0.0,3.238095,0.0,0.0,0.0,0.0,0.0,7.428572,0.0,0.8253969999999999,0.0,1.2857,0.451754,1.7959180000000001,0.47599600000000003,1.55102,0.645363,1.183674,0.321388,0.979592,0.29993800000000004,4.163265,5.825164,2.8163270000000002,2.73378,0.0,0.0,0.0,0.0,1.061225,0.886758,0.979592,0.9016620000000001,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
4,0.25,0,1,3,5.428572,1.8095240000000001,1.312335,2.857143,0.9523809999999999,0.235702,10.857142999999999,3.6190480000000003,4.0276819999999995,4.571429,1.52381,3.771236,0.571429,0.190476,0.471405,3.0,0.0,5.428572,0.0,1.8095240000000001,0.0,2.857143,0.0,0.9523809999999999,0.0,10.857142999999999,0.0,3.6190480000000003,0.0,4.571429,0.0,1.52381,0.0,0.571429,0.0,0.190476,0.0,1.0,0.0,1.8095240000000001,0.7499060000000001,1.8095240000000001,0.7499060000000001,0.9523809999999999,0.134687,0.9523809999999999,0.134687,3.6190480000000003,2.301533,3.6190480000000003,2.301533,1.52381,2.154992,1.52381,2.154992,0.190476,0.269374,0.190476,0.269374,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,0.2,0,0,5,10.714286,2.142857,0.632456,8.571429,1.714286,0.48989799999999994,7.5,1.5,1.113553,2.142857,0.428571,0.8,2.857143,0.571429,0.9797959999999999,5.0,0.0,10.714286,0.0,2.142857,0.0,8.571429,0.0,1.714286,0.0,7.5,0.0,1.5,0.0,2.142857,0.0,0.428571,0.0,2.857143,0.0,0.571429,0.0,1.0,0.0,2.142857,0.451754,2.142857,0.451754,1.714286,0.349927,1.714286,0.349927,1.5,0.795395,1.5,0.795395,0.428571,0.571429,0.428571,0.571429,0.571429,0.699854,0.571429,0.699854,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
6,0.0,0,0,3,7.857142999999999,2.619048,0.471405,5.714286,1.9047619999999998,1.247219,7.142857000000001,2.380952,0.942809,1.4285709999999998,0.47618999999999995,0.942809,0.714286,0.23809499999999997,0.471405,3.0,0.0,7.857142999999999,0.0,2.619048,0.0,5.714286,0.0,1.9047619999999998,0.0,7.142857000000001,0.0,2.380952,0.0,1.4285709999999998,0.0,0.47618999999999995,0.0,0.714286,0.0,0.23809499999999997,0.0,1.0,0.0,2.619048,0.33671799999999996,2.619048,0.33671799999999996,1.9047619999999998,0.8908709999999999,1.9047619999999998,0.8908709999999999,2.380952,0.673435,2.380952,0.673435,0.47618999999999995,0.673435,0.47618999999999995,0.673435,0.23809499999999997,0.33671799999999996,0.23809499999999997,0.33671799999999996,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
